Síterep,Link,Régió,Parkoló,Hegytető,Sípályák hossza,Szintkülönbség,Liftek száma,Szezon eleje,Szezon vége,Távolság Budapesttől,Felnőtt napijegy ára,Húzólift,Kombilift,Kék,Piros,Fekete,Ülőlift,Nagykabinos lift,Kiskabinos lift,Vonat
Kirchschlag,https://sielok.hu/siterep/kirchschlag/,Felső-Ausztria,750,900,3.0,150,3,,,451.0,20.0,3,0,2.0,1.0,0.0,0,0,0,0
Kitzbühel - Kirchberg - Kitzski,https://sielok.hu/siterep/kitzbuhel/,Tirol,800,2000,188.0,1200,57,2022.11.12.,2023.04.10.,623.0,65.0,18,0,102.0,66.0,20.0,27,1,11,0
"Kleinarl, Flachauwinkl - Shuttleberg",https://sielok.hu/siterep/kleinarl/,Salzburg,1000,1980,28.0,980,10,2022.12.08.,2023.04.10.,530.0,68.0,2,0,19.0,7.0,2.0,7,0,1,0
Kleinlobming,https://sielok.hu/siterep/kleinlobming/,Stájerország,764,1000,1.0,236,2,,,409.0,26.0,2,0,0.2,0.8,0.0,0,0,0,0
Klippitztörl,https://sielok.hu/siterep/klippitztorl/,Karintia,1460,1818,28.0,358,6,2022.12.09.,2023.04.02.,459.0,40.5,4,0,18.0,10.0,0.0,2,0,0,0
Koralpe,https://sielok.hu/siterep/koralpe/,Karintia,1650,2070,18.0,420,5,2022.12.17.,2023.03.26.,470.0,35.0,5,0,7.0,9.0,2.0,0,0,0,0
Krakautal,https://sielok.hu/siterep/krakau/,Stájerország,1220,1450,3.0,230,1,,,478.0,,1,0,1.0,2.0,0.0,0,0,0,0
Kreischberg - Murau,https://sielok.hu/siterep/kreischberg/,Stájerország,868,2118,42.5,1250,12,2022.12.08.,2023.04.10.,464.0,58.0,6,0,17.5,16.0,9.0,3,0,3,0
Krippenstein - Dachstein,https://sielok.hu/siterep/krippenstein/,Felső-Ausztria,609,2109,12.0,1500,7,2022.12.24.,2023.04.10.,500.0,50.7,3,0,3.0,9.0,0.0,1,3,0,0
Kühtai,https://sielok.hu/siterep/kuehtai/,Tirol,1938,2520,46.9,582,12,2022.12.02.,2023.04.16.,761.0,48.0,5,0,9.3,26.8,10.8,6,0,1,0
Königsberg,https://sielok.hu/siterep/konigsberg/,Alsó-Ausztria,715,1078,14.0,363,6,2022.12.17.,2023.03.19.,429.0,29.0,6,0,7.0,5.0,2.0,0,0,0,0
Kössen - Hochkössen,https://sielok.hu/siterep/kossen/,Tirol,613,1688,22.7,1075,11,2022.12.10.,2023.04.10.,618.0,45.0,7,0,10.5,9.2,3.0,3,0,1,0
Kötschach - Mauthen,https://sielok.hu/siterep/kotschach/,Karintia,710,1300,6.0,590,4,2022.12.24.,2023.03.12.,583.0,33.0,3,0,4.0,2.0,0.0,1,0,0,0
Lachtal,https://sielok.hu/siterep/lachtal/,Stájerország,1600,2222,26.2,622,10,2022.12.08.,2023.04.10.,442.0,52.0,8,0,7.2,16.0,3.0,2,0,0,0
Lackenhof am Ötscher,https://sielok.hu/siterep/lackenhof/,Alsó-Ausztria,812,1426,15.5,614,8,2022.12.17.,2023.03.19.,405.0,43.5,5,0,5.3,6.6,3.6,3,0,0,0
Lammeralm,https://sielok.hu/siterep/lammeralm/,Stájerország,980,1230,8.8,250,3,,,323.0,,2,0,2.9,3.7,2.2,1,0,0,0
