licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
PDN647,MAN Lions City A21 (ArrivaBus),BUS,47.474365,19.006678,53,Mindszenty J. bíboros tér,Móricz Zs. körtér M
PDN643,MAN Lions City A21 (ArrivaBus),BUS,47.408443,19.01658,213,Donát-hegy,Móricz Zs. körtér M
V1624,TW 6000,TRAM,47.44905,19.164722,50,"Pestszentlőrinc, Béke tér",Villanytelep
PDN644,MAN Lions City A21 (ArrivaBus),BUS,47.449116,19.037836,114,"Baross G.-telep, Ispiláng u.",Móricz Zs. körtér M
NCV300,Karsan ATAK típusú midi autóbusz,BUS,47.507385,19.02267,116,Dísz tér,Fény utcai piac
VTA641,MAN Lions City A21 (ArrivaBus),BUS,47.43036,19.01605,250,Savoya Park,Kelenföld vasútállomás M
PDN642,MAN Lions City A21 (ArrivaBus),BUS,47.47644,19.034483,150,Budatétény vá. (Campona),Móricz Zs. körtér M
PDN639,MAN Lions City A21 (ArrivaBus),BUS,47.40135,19.00381,213,Donát-hegy,Móricz Zs. körtér M
903-941,MXA-MXA,SUBURBAN_RAILWAY,47.51498,19.204288,H8,Gödöllő,Örs vezér tere
PDN640,MAN Lions City A21 (ArrivaBus),BUS,47.475685,19.03993,150,Budatétény vá. (Campona),Móricz Zs. körtér M
NCV299,Karsan ATAK típusú midi autóbusz,BUS,47.49904,19.036432,16A,Dísz tér,Széll Kálmán tér M
NAY372,MAN Lions City A21 (ArrivaBus),BUS,47.43081,19.07095,138,Budatétény vá. (Campona),"Csepel, Szent Imre tér"
NAY370,MAN Lions City A21 (ArrivaBus),BUS,47.429836,19.067415,138,Budatétény vá. (Campona),"Csepel, Szent Imre tér"
NAY368,MAN Lions City A21 (ArrivaBus),BUS,47.452267,19.17419,182,Alacskai úti lakótelep,Kőbánya-Kispest M
NAY363,MAN Lions City A21 (ArrivaBus),BUS,47.43101,19.070671,152,Hollandi út,Szent Imre tér
NAY382,MAN Lions City A21 (ArrivaBus),BUS,47.46768,19.053255,,,
NAY380,MAN Lions City A21 (ArrivaBus),BUS,47.585316,19.053501,134,"B.megyer, Újmegyeri tér",Szentlélek tér H
NAY378,MAN Lions City A21 (ArrivaBus),BUS,47.464027,19.01224,153,Infopark,Gazdagréti tér
NAY379,MAN Lions City A21 (ArrivaBus),BUS,47.538933,19.046959,134,"B.megyer, Újmegyeri tér",Szentlélek tér H
NAY377,MAN Lions City A21 (ArrivaBus),BUS,47.468773,19.013954,53,Mindszenty J. bíboros tér,Móricz Zs. körtér M
BPO147,Ikarus 260-as típusú autóbusz,BUS,47.500347,19.135239,,,
NAY374,MAN Lions City A21 (ArrivaBus),BUS,47.41227,19.057386,138,Budatétény vá. (Campona),"Csepel, Szent Imre tér"
RWA600,MERCEDES Conecto 2 szóló autóbusz,BUS,47.46205,19.114971,181,Ecseri út M - József A. ltp.,Ecseri út M - Aszódi utca
NAY375,MAN Lions City A21 (ArrivaBus),BUS,47.46277,19.005928,154,Infopark - BudaPart,Gazdagréti tér
RYH836,Volvo 7000A típusú csuklós autóbusz,BUS,47.51682,19.108131,7,"Újpalota, Nyírpalota út",Albertfalva vasútállomás
NAY373,MAN Lions City A21 (ArrivaBus),BUS,47.39194,19.012804,138,Budatétény vá. (Campona),"Csepel, Szent Imre tér"
REM813,MB515 minibusz,BUS,47.58432,19.044199,219,Aranyhegy,Csillaghegy H
NGC142,MERCEDES Citaro O 530 (BKV spec.),BUS,47.50589,19.038465,109,Batthyány tér M H,"Óbuda, Bogdáni út"
NGC164,MERCEDES Citaro O 530 (BKV spec.),BUS,47.59406,19.04744,160,Békásmegyer H,Óbudai rendelőintézet
NGC160,MERCEDES Citaro O 530 (BKV spec.),BUS,47.532948,19.0399,29,Hűvösvölgy,Szentlélek tér H
NGC161,MERCEDES Citaro O 530 (BKV spec.),BUS,47.511242,19.01988,149,Fenyves utca,Széll Kálmán tér M
BPO199,Ikarus 405-ös típusú autóbusz,BUS,47.505924,19.038986,39,Goldmark Károly utca,Batthyány tér M H
NAY360,MAN Lions City A21 (ArrivaBus),BUS,47.443214,19.083511,,,
NAY361,MAN Lions City A21 (ArrivaBus),BUS,47.462826,19.149559,184,"Pestszentimre, Benjámin u.",Kőbánya-Kispest M
NAY358,MAN Lions City A21 (ArrivaBus),BUS,47.447403,19.190296,182,Alacskai úti lakótelep,Kőbánya-Kispest M
NAY359,MAN Lions City A21 (ArrivaBus),BUS,47.41691,19.130535,35,"Csepel, Csillagtelep",Szentlőrinci úti ltp.
NAY356,MAN Lions City A21 (ArrivaBus),BUS,47.407368,19.194817,184,"Pestszentimre, Benjámin u.",Kőbánya-Kispest M
LPZ954,Ikarus 405-ös alacsonypadlós autóbusz,BUS,47.56497,19.111082,121,Újpest-városkapu M,R.palota-Újpest vasútáll.
NAY362,MAN Lions City A21 (ArrivaBus),BUS,47.4256,19.128593,35,"Csepel, Csillagtelep",Szentlőrinci úti ltp.
FLR749,Volvo 7700A típusú csuklós autóbusz,BUS,47.50473,19.150988,45,"Cinkota, Lassú utca",Örs vezér tere M H
V1427,Ganz csuklós,TRAM,47.49718,19.056026,47,Városház tér,Deák Ferenc tér M
FLR746,Volvo 7700A típusú csuklós autóbusz,BUS,47.504635,19.13662,,,
FLR747,Volvo 7700A típusú csuklós autóbusz,BUS,47.51078,19.189585,44,Centenáriumi lakótelep,Örs vezér tere M H
FLR748,Volvo 7700A típusú csuklós autóbusz,BUS,47.48639,19.258177,276E,"R.csaba-Újtelep, Naplás út",Örs vezér tere M H
BPO180,Ikarus 260-as típusú autóbusz,BUS,47.520184,19.091513,225,"R.palota, Székely Elek út",Mexikói út M
NGC157,MERCEDES Citaro O 530 (BKV spec.),BUS,47.565247,19.030848,,,
NGC153,MERCEDES Citaro O 530 (BKV spec.),BUS,47.52014,19.008894,149,Fenyves utca,Széll Kálmán tér M
BPO187,Ikarus 260-as típusú autóbusz,BUS,47.39916,19.205635,284E,"Pestszentimre, Benjámin u.",Kőbánya-Kispest M
NGC149,MERCEDES Citaro O 530 (BKV spec.),BUS,47.521225,19.006306,,,
NGC159,MERCEDES Citaro O 530 (BKV spec.),BUS,47.54715,19.031477,137,Erdőalja út-Máramaros út,Szentlélek tér H
NGC165,MERCEDES Citaro O 530 (BKV spec.),BUS,47.56048,19.010979,237,Jablonka út,Szentlélek tér H
NGC158,MERCEDES Citaro O 530 (BKV spec.),BUS,47.52771,19.03671,65A,Fenyőgyöngye,Kolosy tér
943-929,MXA-MXA,SUBURBAN_RAILWAY,47.50401,19.14176,H8,Gödöllő,Örs vezér tere
V1407,Ganz csuklós,TRAM,47.4699,19.02547,,,
FLR733,Volvo 7700A típusú csuklós autóbusz,BUS,47.4891,19.063074,9,Kőbánya alsó vasútáll.,"Óbuda, Bogdáni út"
FLR734,Volvo 7700A típusú csuklós autóbusz,BUS,47.507984,19.209496,276E,"R.csaba-Újtelep, Naplás út",Örs vezér tere M H
FLR728,Volvo 7700A típusú csuklós autóbusz,BUS,47.51474,19.221205,45,"Cinkota, Lassú utca",Örs vezér tere M H
FLR729,Volvo 7700A típusú csuklós autóbusz,BUS,47.49127,19.06155,9,Kőbánya alsó vasútáll.,"Óbuda, Bogdáni út"
FLR730,Volvo 7700A típusú csuklós autóbusz,BUS,47.52149,19.104994,32,Göncz Árpád városkp. M,Örs vezér tere M H
V1402,Ganz csuklós,TRAM,47.450073,19.037846,47,Városház tér,Deák Ferenc tér M
FLR735,Volvo 7700A típusú csuklós autóbusz,BUS,47.50316,19.136572,,,
V1370,KCSV7 Korszerűsített Ganz,TRAM,47.509384,19.04665,2,Jászai Mari tér,Közvágóhíd H
FLR726,Volvo 7700A típusú csuklós autóbusz,BUS,47.50104,19.136564,161,Rákoscsaba,Örs vezér tere M H
FLR742,Volvo 7700A típusú csuklós autóbusz,BUS,47.500443,19.135283,,,
V1418,Ganz csuklós,TRAM,47.47694,19.047258,47,Városház tér,Deák Ferenc tér M
FLR743,Volvo 7700A típusú csuklós autóbusz,BUS,47.50952,19.128862,32,Göncz Árpád városkp. M,Örs vezér tere M H
FLR744,Volvo 7700A típusú csuklós autóbusz,BUS,47.505436,19.1357,45,"Cinkota, Lassú utca",Örs vezér tere M H
V1419,Ganz csuklós,TRAM,47.497414,19.05551,47,Városház tér,Deák Ferenc tér M
FLR745,Volvo 7700A típusú csuklós autóbusz,BUS,47.50334,19.136871,,,
FLR738,Volvo 7700A típusú csuklós autóbusz,BUS,47.529434,19.081465,32,Göncz Árpád városkp. M,Örs vezér tere M H
FLR739,Volvo 7700A típusú csuklós autóbusz,BUS,47.486057,19.192984,161,Rákoscsaba,Örs vezér tere M H
FLR740,Volvo 7700A típusú csuklós autóbusz,BUS,47.499966,19.237053,,,
FLR741,Volvo 7700A típusú csuklós autóbusz,BUS,47.500484,19.135311,,,
FLR736,Volvo 7700A típusú csuklós autóbusz,BUS,47.488213,19.064884,M3,Lehel tér M,Nagyvárad tér M
FLR737,Volvo 7700A típusú csuklós autóbusz,BUS,47.508766,19.178488,44,Centenáriumi lakótelep,Örs vezér tere M H
V1354,KCSV7 Korszerűsített Ganz,TRAM,47.496017,19.048052,2,Jászai Mari tér,Közvágóhíd H
MHK920,Volvo 7000A típusú csuklós autóbusz,BUS,47.52353,19.098742,32,Göncz Árpád városkp. M,Örs vezér tere M H
