id,num_of_stops,total_distance,shortName,type,From,To
BKK_2970,6.0,2028.0,297,BUS,Nyeremény utca,R.csaba-Újt. vasútállomás
BKK_0660,23.0,13706.0,66,BUS,"Soroksár, közp. raktárak",Határ út M
BKK_3371,13.0,5981.0,37A,TRAM,Sörgyár,Blaha Lujza tér M
BKK_1130,23.0,9926.0,113,BUS,"Diósd, Sashegyi út",Budatétény vá. (Campona)
BKK_3561,22.0,11270.0,56A,TRAM,Móricz Zs. körtér M,Hűvösvölgy
BKK_0662,26.0,15295.0,66B,BUS,"Soroksár, BILK",Határ út M
BKK_1880,32.0,18436.0,188,BUS,Honfoglalás sétány,Kelenföld vasútállomás M
BKK_2945,21.0,15177.0,294E,BUS,"Gyál, Vecsési út",Határ út M
BKK_3591,11.0,4239.0,59A,TRAM,Márton Áron tér,Széll Kálmán tér M
BKK_2961,23.0,9047.0,296A,BUS,"Káp.megyer, Szilas-patak","Újpalota, Szentmihályi út"
BKK_1041,26.0,14041.0,104A,BUS,"Székesdűlő, ipartelep","Rákospalota, Kossuth utca"
BKK_0131,16.0,6963.0,13A,BUS,"Diósd, Sashegyi út",Budatétény vá. (Campona)
BKK_1402,17.0,11045.0,140B,BUS,Budaörsi lakótelep,"Törökbálint, bevásárlóközp."
BKK_2700,19.0,7954.0,270,BUS,"Rákospalota, Csömöri-p.",Újpest-központ M
BKK_9560,98.0,45936.0,956,BUS,"Pécel, Kun József utca",Pesthidegkút-Hűvösvölgy
BKK_9960,57.0,24168.0,996,BUS,Cinkotai autóbuszgarázs,Újpest-központ M
BKK_9080,74.0,34130.0,908,BUS,Cinkotai autóbuszgarázs,Móricz Zs. körtér M
BKK_9480,34.0,17395.0,948,BUS,"Csepel, Hollandi út",Dél-pesti autóbuszgarázs
